title,views,posted
"Tshwane Mayor Cilliers Brink on 'GNU', Motion of no confidence, ActionSA, ANC-DA, EFF & MK Party",30000.0,4 months 
"Will Tripartite Alliance split? | Solly Mapaila, SACP, Fikile Mbalula, ANC, 'GNU', COSATU, MK Party",71000.0,4 months 
"Solly Mapaila on 'GNU', Jacob Zuma & MK Party, Cyril Ramaphosa, Floyd Shivambu, EFF, SACP, Apartheid",212000.0,4 months 
"Keith Engel on Wealth Tax, ‘GNU’, NHI, SARS, ANC tax policy, SA Tax Indaba",24000.0,4 months 
"Clement Manyathela on ‘GNU’, John Steenhuisen, Cyril Ramaphosa, MK Party, Trevor Noah, Adele, SABC",99000.0,4 months 
"Naledi Pandor on 'GNU', Palestine-Israel, ICJ, Thabo Mbeki, Jacob Zuma & MK, Cyril Ramaphosa",368000.0,4 months 
"Julius Malema strikes back: EFF reacts to Floyd Shivambu & MK Party, Mkhwebane, Ndlozi, Jacob Zuma",246000.0,4 months 
"Tragic stabbing at South Africa’s Overberg High School | Deveney Nel, Reza Saloojee, Bayanda Walaza",83000.0,5 months 
"Joburg Mayor Kabelo Gwamanda steps down, what next for the city? Dada Morero in?",25000.0,5 months 
"Chidimma Adetshina withdraws from Miss SA 2024, issues statement after fraud allegations",60000.0,5 months 
"JJ Tabane on Jacob Zuma interview, Pastor Mboro, Gayton McKenzie, Julius Malema, Helen Zille, ‘GNU’",475000.0,5 months 
"Pastor Mboro ARRESTED for wielding weapon in school, church set alight",164000.0,5 months 
"Herman Mashaba on ‘GNU’, Helen Zille remarks, ANC, Joburg metro, Gauteng and ActionSA",51000.0,5 months 
"ANC expels Jacob Zuma, appeals MK Party trademark court defeat, NEC",28000.0,5 months 
"Unfair Attacks on Miss SA 2024 Finalist | Gayton Mckenzie, Pearl Thusi, Elon Musk, Chidimma, GNU",76000.0,5 months 
"Is Joburg in crisis? | Mayor Gwamanda, R200 electricity tariff, ActionSA, Morero, COJ infrastructure",13000.0,5 months 
Who's the next ANC leader? | Mashatile vs Mantashe vs Mbalula and more…,34000.0,5 months 
"William Gumede on ‘GNU’, SOEs, Cyril Ramaphosa, GNU economics, ANC v DA v MK v EFF",35000.0,5 months 
"Joburg mayor shakeup? | Cyril Ramaphosa’s parliament reply, VBS trial, Mashaba, Gwamanda",41000.0,5 months 
"Darren Campher on 'GNU', VBS, Phala Phala, TikTok, VF+, Privatisation, SA Racism, MK Party & EFF",58000.0,5 months 
MPs react to Ramaphosa Parliament Speech | Malema vs Hlophe vs Steenhuisen vs McKenzie vs Mokonyane,185000.0,5 months 
"Ramaphosa speech to Parliament | Zuma DC, Donald Trump, MK Party and EFF",38000.0,6 months 
"Explosive VBS affidavit: EFF, ANC, Treasury, Floyd Shivambu, Tshifhiwa Matodzi, Julius Malema",157000.0,6 months 
Gayton McKenzie outs R72 million funding list | Parliament elects ‘GNU’ Chairs,102000.0,6 months 
"Can Dr John Hlophe serve the Judicial Service Commission (JSC)? MK party, ‘GNU’",38000.0,6 months 
Should SA revamp its Constitution?,23000.0,6 months 
"Cyril Ramaphosa's cabinet begins | 'GNU', Gauteng government, Cabinet Lekgotla, MK Party John Hlophe",81000.0,6 months 
What now for MK Party & EFF? Opposition in the 'GNU' era,143000.0,6 months 
Cyril Ramaphosa announces new Cabinet! Unpacking final post-election ANC-DA+ deal,108000.0,6 months 
"Adv Muzi Sikhakhane on ANC-DA Cabinet, ‘GNU’, SA Constitution, MK Party, Zuma, Mbeki, Ramaphosa",381000.0,6 months 
"Another ""GNU"" twist? | Cabinet, ANC, DA, Ramaphosa-Steenhuisen letter, MK Party & EFF, Helen Zille",138000.0,6 months 
Why land still matters in South Africa: how SA became so segregated,46000.0,6 months 
"'GNU' talks stall: John Hlophe joins MK Party, Ramaphosa Cabinet, ANC-DA spat, Gauteng deadlock, EFF",157000.0,6 months 
"Mighti Jamie on Cabinet, DA, ""GNU"" coalition, Ramaphosa's Inauguration, racism, Renaldo Gouws",23000.0,6 months 
Renaldo Gouws exposed: DA MP in crisis over racism claims,56000.0,6 months 
"""GNU"" in ICU? | ANC-DA spat, Ramaphosa Cabinet, Mbalula, Zille, MK Party, Parliament, VF+ & PAC",118000.0,6 months 
"Aubrey Matshiqi on Cabinet, Helen Zille, Renaldo Gouws, ‘GNU’, Zuma & MK Party, SA Constitution",289000.0,6 months 
"Prof Pierre de Vos on Phala Phala, ANC-DA ""GNU"" pact, SA Constitution debate, National Assembly",74000.0,7 months 
"Dr Ntando Sindane on ANC-DA+ coalition, Constitution, EFF, Jacob Zuma & MK Party, Steve Biko, racism",255000.0,7 months 
"MPs react to ANC-DA coalition: Ramokgopa, Gwarube, Niehaus, Maimane, Zungula, Kwankwa, Hlazo-Webster",177000.0,7 months 
"Reacting to coalitions: Speaker, President, ANC-DA, MK & EFF, Western Cape, Parliament, Ramaphosa",22000.0,7 months 
"Reacting to ANC-DA+ coalition: “GNU”, MK Party, KZN, EFF, National Assembly Speaker, Ramaphosa",134000.0,7 months 
"How will National Assembly Vote? | Parliament, ANC-DA, EFF, MK Party, Didiza",16000.0,7 months 
"How will National Assembly Vote? | Parliament, ANC-DA, EFF, MK Party, Didiza",18000.0,7 months 
"Reacting to EFF Presser: Julius Malema, Zuma & MK Party, ANC, Ramaphosa, Parliament first sitting",32000.0,7 months 
"Reacting to coalition talks: Parliament First Sitting, GNU, EFF, MK Party, ANC, DA, GNU, Speaker",57000.0,7 months 
Why Phala Phala will haunt Cyril Ramaphosa and “Government of National Unity”,79000.0,7 months 
"“Government of National Unity”? DA-ANC, Zuma & MK party, EFF, SA economy, Parliament first sitting",125000.0,7 months 
"""Government of National Unity""? Coalitions, Parliament first sitting, MK Party, ANC-DA, EFF, Zondo",79000.0,7 months 
"Aubrey Matshiqi on Ramaphosa, ANC, Zuma & MK Party, EFF, DA, 2024 Election, Coalitions, Parliament",276000.0,7 months 
"Coalition analysis: ANC NEC, Unity Government, ANC-DA, Cyril Ramaphosa, EFF, MK Party, IFP, PA",73000.0,7 months 
Reacting to coalitions talks | ANC vs DA vs MK Party vs EFF vs IFP,51000.0,7 months 
"Reacting to coalitions: ANC-DA, EFF, MK, IFP and the 2024 election",19000.0,7 months 
"Unpacking coalition talks: ANC-DA vs EFF-MK, IFP, PA and the 2024 election",68000.0,7 months 
"Reacting to coalition talks | ANC-DA, EFF, MK, 2024 elections, Election Results",190000.0,7 months 
Reacting to DRAMATIC Election Results: ANC vs DA vs MK Party vs EFF,123000.0,7 months 
Reacting to Election Results: Patriotic Alliance & Northern Cape,13000.0,7 months 
Reacting to the Election Results & Coalitions: ANC vs DA vs MK Party vs EFF,45000.0,7 months 
Reacting to the Election Results: ANC vs DA vs MK Party vs EFF,14000.0,7 months 
Reacting to the Election Results: ANC vs DA vs MK Party vs EFF,45000.0,7 months 
Reacting to the MASSIVE Election Results: ANC vs DA vs MK Party vs EFF,174000.0,7 months 
Reacting to the Election Results: ANC vs DA vs MK Party vs EFF,34000.0,7 months 
Reacting to the Election Results: ANC vs DA vs MK Party vs EFF,33000.0,7 months 
"Tasneem Essop on 2024 election, ANC, DA, EFF, Zuma & MK Party, Election Day",13000.0,7 months 
My final election expectations: ANC vs DA vs EFF vs MK Party,56000.0,7 months 
"Mbeki, Zuma and Ramaphosa make closing election arguments",46000.0,7 months 
"Aubrey Matshiqi on Jacob Zuma & MK Party, Thabo Mbeki, Ramaphosa, Julius Malema, 2024 Election",235000.0,7 months 
Media suppressing Zuma and MK Party?,19000.0,7 months 
"Patriotic Alliance and ""The Coloured Vote"" | McKenzie, Kunene, EFF, MK Party, 2024 election",33000.0,7 months 
🗳️ Election Update: ANC strikes back in polls,35000.0,7 months 
"ConCourt Bars Zuma from Parliament | MK Party vs IEC, 2024 election",64000.0,7 months 
"Is “Moonshot Pact” dead? | Steenhuisen, DA, IFP, ANC-EFF coalition, KZN, Multiparty Charter",21000.0,7 months 
"What is the National Health Insurance (NHI) Bill? | Ramaphosa, ANC, private healthcare, corruption",35000.0,8 months 
"Prof David Monyae on Africa, China, SADC, Africa Free Trade, borders, passports & visas, AU",9700.0,8 months 
"Will ANC lose Gauteng? | 2024 election, Thabo Mbeki, DA, EFF, Tshwane, Ekhuruleni, Johannesburg",28000.0,8 months 
"Terror Lekota on Zuma and MK Party, Robben Island, Cyril Ramaphosa allegations, COPE, ANC",203000.0,8 months 
DA flag burning advert stirs controversy...,13000.0,8 months 
"Jacob Zuma vs IEC: ConCourt hearing preview | MK Party List, parliament, prison sentence & remission",60000.0,8 months 
"Mighti Jamie on Jacob Zuma, MK Party, ConCourt hearing, IEC, parliament, prison sentence & remission",49000.0,8 months 
EFF endorsed by Abahlali Basemjondolo,19000.0,8 months 
Thabo Mbeki and Kgalema Motlanthe campaign for ANC,32000.0,8 months 
"🥊Election Debate: ANC vs DA on SA economy, Phala Phala, racism, loadshedding, affirmative action",49000.0,8 months 
"IFP President Velenkosi Hlabisa on AmaZulu Royal Succession, Zuma & MK Party, Steenhuisen, ANC, KZN",27000.0,8 months 
"Jan Moganwa on Jacob Zuma, Julius Malema, ANC-EFF-MK coalition, Moonshot Pact, CITIZANS, Ramaphosa",53000.0,8 months 
"Mmusi Maimane on Julius Malema, John Steenhuisen, Cyril Ramaphosa, Jacob Zuma & MK Party, 2024 vote",128000.0,8 months 
Why Western Cape Independence is Foolish and Delusional…,30000.0,8 months 
Julius Malema responds to my question on Cyril Ramaphosa...,156000.0,8 months 
Jacob Zuma v ANC: MK Party triumphs in high-stakes trademark & logo court case | 2024 election,49000.0,8 months 
Chris Hani: the tragic story of a liberation hero,65000.0,8 months 
